Row,avg,max,min,stdp
mros2-posix_mros2-posix/1,598857,793798,561668,24721.0683436972
mros2-posix_ros2/1,676771,1097080,626012,33953.1684359327
ros2_mros2-posix/1,718554,976028,647957,32889.1205732606
ros2_ros2/1,792664,1121617,717937,42507.0869994882
mros2-posix_mros2-posix/2,594959,823593,543333,23873.6180446841
mros2-posix_ros2/2,702968,1217080,626031,38273.1476639873
ros2_mros2-posix/2,728332,1470059,639300,44990.5754422568
ros2_ros2/2,819810,1141841,747326,37152.2019941576
mros2-posix_mros2-posix/4,595268,828608,523813,26695.9307928356
mros2-posix_ros2/4,678063,1288580,614809,38002.7173168162
ros2_mros2-posix/4,735285,1073497,637655,44644.7864923138
ros2_ros2/4,797669,1191434,725309,44044.7955312252
mros2-posix_mros2-posix/8,608333,725756,566572,20895.5464066385
mros2-posix_ros2/8,698702,1259359,632790,37816.5749698214
ros2_mros2-posix/8,722168,1413921,634758,34807.5201230521
ros2_ros2/8,802316,1217416,718532,37851.6252823824
mros2-posix_mros2-posix/16,598953,845458,424609,33657.2633426217
mros2-posix_ros2/16,680585,1217249,620773,35530.5181838968
ros2_mros2-posix/16,761959,1106127,670739,42006.7557896037
ros2_ros2/16,785973,1183991,711365,45842.797979741
mros2-posix_mros2-posix/32,603399,776457,554181,22050.5255572775
mros2-posix_ros2/32,710314,1262378,626643,33667.1732043355
ros2_mros2-posix/32,717946,1076627,652499,30387.2223317963
ros2_ros2/32,819887,1182750,725439,37847.7540016702
mros2-posix_mros2-posix/64,618228,784328,561867,25276.7715743042
mros2-posix_ros2/64,695717,1220953,628365,38487.1422605969
ros2_mros2-posix/64,724514,1101423,654943,37149.0459050571
ros2_ros2/64,814986,1241102,720069,48084.692651813
